Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Unkown,Regional indicator_Western Europe
Afghanistan,3.724,-1.7421582725023308,-3.0851322460835036,-1.7252070461873086,-0.20779376421773504,1.0526819061105626,0.75125711045019,3,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,4.402,-1.5946957333312128,-2.225498705983276,-1.6714996429086542,-0.4863261966172161,1.189765804982746,0.5801248671961812,4,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,4.758,-1.5018810763235089,-2.3361446071842953,-1.6177922396300006,-1.0505329186571921,0.7598208494290797,-0.18462234484517026,5,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,3.832,-1.5253015972506865,-2.4893466242318607,-1.5748263170070778,-1.7932860717224761,1.0152953882363307,-0.056273162404663624,6,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,3.783,-1.4515703276651275,-2.4893466242318607,-1.5318603943841547,-1.5433210682870437,1.4763957753518566,0.1843815546712863,7,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,3.572,-1.4342217936449964,-2.8042618814963007,-1.4888944717612318,-1.2076537779594638,0.38595567068676123,0.4357320369506112,8,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,3.131,-1.4402937805520422,-2.4467905083853148,-1.4459285491383087,-1.7004419275893157,0.6538923821187561,0.6924304018316244,9,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,3.983,-1.4541726077681474,-2.421256838877387,-1.4029626265153858,-2.5574647965107973,0.5043463106218288,0.7459092278485022,10,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,4.22,-1.4585097412731802,-2.165920143798111,-1.429816328154713,-1.6004559262151425,0.26756503075169374,0.2752955588999785,11,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,2.662,-1.4585097412731802,-2.7446833193111364,-1.4566700297940403,-2.286074221352328,-0.748102038164938,1.1363046577717093,12,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,2.694,-1.462846874778213,-2.59999252543288,-1.4835237314333665,-2.6645926551259826,-0.5798627077308948,0.9972597101278277,13,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,2.375,-1.4585097412731802,-3.348980164332089,-1.5103774330726936,-2.5217555103057356,-0.6670979161041024,0.9758681797210765,14,0,0,0,0,0,0,1,0,0,0,0
Afghanistan,2.523,-1.4602445946751932,-2.9829975680517933,-1.4978904618104063,-2.607457797197884,-0.6297113982298705,0.9758681797210765,16,0,0,0,0,0,0,1,0,0,0,0
Albania,4.634,-0.20507815831867712,0.0640203265608948,0.2888205767622044,-1.5576047827690684,-0.050220371179276954,0.7138219322383755,2,1,0,0,0,0,0,0,0,0,0,0
Albania,5.485,-0.10098695419788704,0.16615500459260513,0.3425279800408589,-1.5861722117331178,-0.9786522317227011,0.65499522361981,4,1,0,0,0,0,0,0,0,0,0,0
Albania,5.269,-0.06542245945661708,-0.6849673123383133,0.3693816816801861,-1.271930493128575,-1.0658874400959086,-0.0830125754131025,5,1,0,0,0,0,0,0,0,0,0,0
Albania,5.867,-0.041134511828434056,-0.4636755099362743,0.4069768639752438,-1.8575627868915874,-1.2715132884041838,0.7245176974417511,6,1,0,0,0,0,0,0,0,0,0,0
Albania,5.51,-0.027255684612328815,-0.24238370753423524,0.4445720462702996,-1.0362492041751674,-1.0471941811587928,0.5694291019928056,7,1,0,0,0,0,0,0,0,0,0,0
Albania,4.551,-0.0168465642002495,-0.4636755099362743,0.4821672285653574,-0.8219934869447968,-0.7854885560391699,0.6496473410181223,8,1,0,0,0,0,0,0,0,0,0,0
Albania,4.814,-0.00036545688112442614,-1.5956681914543962,0.5197624108604151,-0.086382191120525,-0.14991775217722858,0.7566049930518778,9,1,0,0,0,0,0,0,0,0,0,0
Albania,4.607,0.021320210644040303,-1.4850222902533767,0.5573575931554728,-0.307779765591908,-0.49885858567005914,0.7673007582552532,10,1,0,0,0,0,0,0,0,0,0,0
Albania,4.511,0.05081271847826298,-1.493533513422686,0.5976381456144627,-0.12209147732558677,-0.10006906167825277,0.8528668798822577,11,1,0,0,0,0,0,0,0,0,0,0
Albania,4.64,0.08464235981752076,-1.493533513422686,0.6379186980734545,0.020745667494660322,-0.17484209742671647,0.7191698148400633,12,1,0,0,0,0,0,0,0,0,0,0
Albania,5.004,0.12107428125979683,-1.102017247634463,0.6781992505324443,0.5492431033295738,0.061939182443418575,0.8421711146788822,13,1,0,0,0,0,0,0,0,0,0,0
Albania,4.995,0.14362737548596766,-1.0849948012958446,0.7184798029914342,0.2135758130019939,-0.6110181392927547,0.9223893537041988,14,1,0,0,0,0,0,0,0,0,0,0
Albania,5.365,0.10285832053865802,-0.8807254452324248,0.7587603554504241,0.049313096458709745,0.049477009818674623,0.7993880538653799,15,1,0,0,0,0,0,0,0,0,0,0
Albania,5.117,0.12280913466180902,-0.9913713464334444,0.718345534483237,0.27071067093009277,-0.18107318373908843,0.8528668798822577,16,1,0,0,0,0,0,0,0,0,0,0
Algeria,5.464,-0.07930128667272232,-0.08598998179817963,0.11427151610658035,-1.1005259193442787,-1.2715132884041838,-0.6605838963953817,5,0,0,0,0,1,0,0,0,0,0,0
Algeria,5.317,-0.07062701966265673,-0.029603128301505393,0.13575447741804136,-1.5504629255280562,-1.1219672169072565,-0.5536262443616262,6,0,0,0,0,1,0,0,0,0,0,0
Algeria,5.605,-0.05848304584856522,0.2172223436084603,0.15723743872950238,-1.1433770627903528,-1.0658874400959086,-0.27553634907386243,7,0,0,0,0,1,0,0,0,0,0,0
Algeria,6.355,-0.03766480502440659,0.038486657052967214,0.2002033613524263,-1.6677934373446879,-0.8246553842883652,-0.22358548951461002,9,0,0,0,0,1,0,0,0,0,0,0
Algeria,5.341,-0.014244284097229668,-0.5487877416293663,0.24854002430321454,-1.6677934373446879,-0.8246553842883652,-0.22358548951461002,11,0,0,0,0,1,0,0,0,0,0,0
Algeria,5.249,-0.02118369770528306,-0.05513679780943297,0.27539372594254174,-2.214655648942205,-1.034732008534049,-0.22205752305698467,12,0,0,0,0,1,0,0,0,0,0,0
Algeria,5.043,-0.026388257911321177,-0.12322658316390653,0.302247427581869,-1.1719444917544022,-0.9038791959742374,0.09346755044259411,13,0,0,0,0,1,0,0,0,0,0,0
Algeria,4.745,-0.035929951622394395,-0.08918169048666975,0.3291011292211943,-2.5860322254748467,0.03701483719393067,-0.0027943363877858634,14,0,0,0,0,1,0,0,0,0,0,0
Algeria,4.887,-0.03159281811736084,-0.09769291365597894,0.3163456209425142,-1.907555787578674,-0.4116233772968515,0.05603237223077967,16,0,0,0,0,1,0,0,0,0,0,0
Angola,5.589,-0.37509379171596596,-0.7700795440314053,-1.49695058225303,-1.1648026345133897,0.34856915281252937,0.9063457058991354,6,0,0,0,0,0,0,0,0,0,1,0
Angola,4.36,-0.3351921634696624,-0.5147428489521295,-1.4029626265153858,-2.07896036136297,-0.8415683328505178,0.8796062928906966,7,0,0,0,0,0,0,0,0,0,1,0
Angola,3.937,-0.323915616356577,-0.7785907672007145,-1.3089746707777423,-2.4074857944495385,-0.6421735708546145,0.3982968587387967,8,0,0,0,0,0,0,0,0,0,1,0
Angola,3.795,-0.31350649594449925,-0.4977204026135111,-1.2149867150400981,-2.6574507978849704,-1.040963094846421,0.4945587455691767,9,0,0,0,0,0,0,0,0,0,1,0
Argentina,6.313,0.488863202486585,1.0598334373700695,0.4257744551227708,-0.1006659056025497,-0.9724211454103292,0.5908206323995567,1,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.073,0.5547876317630852,0.41298047650257175,0.4418866761063675,-0.6720144848835373,-0.8727237644123775,0.7459092278485022,2,0,0,0,1,0,0,0,0,0,0,0
Argentina,5.961,0.580810432793282,0.6683171715818476,0.4579988970899642,-0.49346805385822845,-0.8166439876010299,0.6603431062214977,3,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.424,0.5192231370218153,0.8981201971531958,0.47411111807356093,-0.7862842007397349,-0.8041818149762858,0.7673007582552532,4,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.441,0.596424113411401,0.9662099825076694,0.4902233390571557,-0.12209147732558677,-0.779257469726798,0.60686428020462,5,0,0,0,1,0,0,0,0,0,0,0
Argentina,6.776,0.636325741657703,0.64278350207392,0.5143916705325507,0.49210824540147496,-1.0783496127206527,0.072076020035843,6,0,0,0,1,0,0,0,0,0,0,0
