WP5 Country,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
070 Afghanistan,Afghanistan,2008,3.723589897,7.178331852,0.450662315,47.86246109,0.718114316,0.179613099,0.88168633,0.517637193,0.25819549,0.61207211,-1.962724447,-1.665895462,,,,,,,
070 Afghanistan,Afghanistan,2009,4.401778221,7.344421864,0.55230844,48.27507782,0.678896368,0.201415613,0.850035429,0.583925605,0.23709242,0.611545205,-2.082450628,-1.647937894,0.286315262,,,,,,
070 Afghanistan,Afghanistan,2010,4.75838089,7.400804043,0.539075196,48.67341232,0.60012722,0.135185465,0.706766069,0.61826545,0.275323808,0.299357414,-2.015700579,-1.630097032,0.275832713,,,,,,
070 Afghanistan,Afghanistan,2011,3.83171916,7.435526371,0.521103561,49.05338287,0.495901406,0.172411606,0.731108546,0.611387312,0.267174691,0.307385713,-1.947304726,-1.620275259,,,,,,,
070 Afghanistan,Afghanistan,2012,3.782937527,7.545960426,0.520636737,49.41578293,0.530935049,0.243652642,0.775619805,0.710384727,0.267919123,0.435440153,-1.868366241,-1.434265494,,,,,,,
070 Afghanistan,Afghanistan,2013,3.572100401,7.563335419,0.48355186,49.77818298,0.577955365,0.068826146,0.8232041,0.620584846,0.273328096,0.482847273,,,,,,,,,
070 Afghanistan,Afghanistan,2014,3.130895615,7.570926189,0.525568426,50.14058304,0.508514047,0.11063049,0.871241987,0.531691492,0.374860734,0.409047514,,,,,,,,,
083 Albania,Albania,2007,4.634251595,9.012563705,0.821371615,67.16507721,0.528604746,-0.011695785,0.874699533,0.552677572,0.24633503,0.300680578,-0.052545309,-0.416485548,,,,0.243243247,0.231999993,,
083 Albania,Albania,2009,5.485469818,9.138635635,0.833046615,67.46111298,0.525223255,-0.161581233,0.863665402,0.640023768,0.279256523,,0.037683181,-0.254297316,0.111003563,,,0.243243247,0.231999993,,
083 Albania,Albania,2010,5.268936634,9.182662964,0.73315227,67.61626434,0.568958402,-0.176398426,0.726261675,0.647908092,0.300060242,,-0.039628312,-0.240878165,0.201117858,,,0.243243247,0.231999993,,
083 Albania,Albania,2011,5.867421627,9.221837044,0.759433806,67.77850342,0.487496257,-0.209914163,0.877002597,0.627659321,0.256576508,,-0.112633042,-0.274620742,0.066618308,,,0.243243247,0.231999993,,
083 Albania,Albania,2012,5.510124207,9.2445755,0.784501791,67.94297791,0.601512134,-0.174809784,0.847675204,0.606635928,0.271393239,0.364893705,-0.074505888,-0.351115823,,,,0.243243247,0.231999993,,
083 Albania,Albania,2013,4.550647736,9.267559052,0.759476721,68.10744476,0.631830275,-0.134083673,0.862904966,0.633608878,0.338378578,0.338094711,,,,,,0.243243247,0.231999993,,
083 Albania,Albania,2014,4.813763142,9.298103333,0.625586927,68.27191925,0.734648407,-0.032486822,0.882704437,0.684910536,0.334542662,0.49878639,,,,,,0.243243247,0.231999993,,
084 Algeria,Algeria,2010,5.46356678,9.433009148,,60.80874634,0.592695832,-0.230039477,0.618037879,,,,-1.144718528,-0.719718814,,,,,0.107644305,,0.179286331
084 Algeria,Algeria,2011,5.317194462,9.44190979,0.810234487,60.92506027,0.529561281,-0.205362275,0.637981653,0.550203383,0.254896641,,-1.191726089,-0.785869896,,,,,0.107644305,,0.179286331
084 Algeria,Algeria,2012,5.604595661,9.455523491,0.839396894,61.03742599,0.586663485,-0.196885318,0.690116346,0.604023278,0.22971566,,-1.127525806,-0.794190824,,,,,0.107644305,,0.179286331
