WP5 Country,country,Changes in ladder scores,Standard error of changes in ladder scores,Changes in: GDP per capita,Changes due to: GDP per capita,Changes in: Social support,Changes due to: Social support,Changes in: Healthy life expectancy,Changes due to: Healthy life expectancy,Changes in: Freedom to make life choices,Changes due to: Freedom to make life choices,Changes in: Generosity,Changes due to: Generosity,Changes in: Perceptions of corruption,Changes due to: Perceptions of corruption,Predicted changes due to changes in the six factors,Changes in trust in national government,Changes in democratic quality from 2005-07 to 2012,Changes in delivery quality from 2005-07 to 2012,"Most people can be trusted, Gallup, mostly 2009-10","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
158 Nicaragua,Nicaragua,1.12114048,0.093746677,0.116755486,0.038082421,-0.005497456,-0.013113397,1.996524811,0.055252321,0.051280439,0.054054495,-0.021411117,-0.016858159,-0.174417675,0.110221058,0.227638736,0.275658548,-0.220924586,-0.003443599,0.114300102,,,,,,
081 Zimbabwe,Zimbabwe,1.055891752,0.079774283,0.030047417,0.009800639,-0.003931165,-0.009377234,12.02390671,0.332752556,0.119193196,0.125641048,0.004716914,0.003713888,-0.087679863,0.055408187,0.517939091,0.227769464,0.223602772,0.136572599,0.145290583,,,,0.116682939,,0.08294227
115 Ecuador,Ecuador,0.965203285,0.069946885,0.166129112,0.054186735,-0.068803787,-0.164121628,1.389602661,0.038456205,0.106067657,0.111805469,-0.069724321,-0.054897819,-0.185903847,0.1174796,0.102908567,0.337736815,0.106480539,0.085625887,0.128309578,,,,,,0.071606994
075 Moldova,Moldova,0.950220108,0.059212543,0.228868484,0.074650593,0.004652023,0.011096739,0.675476074,0.018693291,0.024674654,0.026009448,0.096170381,0.075720266,0.013116002,-0.008288492,0.197881848,-0.197763294,0.298336267,0.151468694,0.127615064,,,0.218495935,0.141357049,0.175908223,
080 Sierra Leone,Sierra Leone,0.900512457,0.088042632,0.4858284,0.158463836,0.164114118,0.39147085,2.088722229,0.057803813,0.00457567,0.004823194,-0.20034416,-0.157742053,-0.006329358,0.003999758,0.458819389,0.019090295,-0.002618283,0.176718771,0.158475429,,,,,,
164 Paraguay,Paraguay,0.87631464,0.070617594,0.158938408,0.051841326,0.055983245,0.133540049,0.554603577,0.015348236,0.133043945,0.140241057,0.024237536,0.019083554,-0.051663935,0.032648373,0.392702609,0.094668671,0.004975438,0.231779873,0.142424241,,,,,,
140 Liberia,Liberia,0.870018005,0.130185738,0.475797653,0.155192077,0.125146806,0.29851988,3.112613678,0.086139239,-0.203172147,-0.214162901,-0.167734742,-0.132066846,0.090883315,-0.05743257,0.13618888,-0.378408372,0.353257537,0.153276742,0.120361082,,,,,,
165 Peru,Peru,0.810733318,0.077366307,0.315848351,0.103021026,-0.020296752,-0.048415013,1.697624207,0.04698047,0.056240857,0.059283249,-0.020014569,-0.015758578,-0.043071508,0.027218498,0.172329649,0.048504129,0.019466102,0.185643032,0.101842374,,,0.048720066,0.105929382,0.062890917,0.084029421
104 Chile,Chile,0.790994167,0.084045306,0.176109314,0.057442002,0.032583117,0.077722386,1.171379089,0.032417033,0.031807184,0.033527818,-0.068006828,-0.053545542,0.082409203,-0.052077461,0.095486239,-0.177222192,-0.175379634,0.110161066,0.160982952,,0.220666662,0.213770002,0.221766666,0.124709077,0.126401633
195 Uzbekistan,Uzbekistan,0.770519733,0.077905044,0.436465263,0.142362937,0.04851234,0.115719274,0.700317383,0.019380756,0.157412171,0.1659275,0.107875265,0.084936172,-0.12918824,0.081638888,0.609965503,,0.621993423,-0.000541687,0.277835578,,,,,,0.139223561
128 Haiti,Haiti,0.76366806,0.110372044,0.031039238,0.010124144,0.004328549,0.010325137,2.599472046,0.071938433,0.099138439,0.104501411,-0.110881358,-0.087303035,-0.158932328,0.100435287,0.210021377,0.006352484,0.403356075,0.001788259,0.308008224,,,,,,
194 Uruguay,Uruguay,0.745007992,0.066999905,0.313798904,0.102352552,0.000210583,0.000502316,0.911064148,0.025213014,0.092460394,0.09746211,0.148278847,0.116748147,0.036439717,-0.023027621,0.319250524,-0.065032542,-0.0372504,0.107086301,0.274387062,,,0.216404811,,0.284393072,0.144351467
175 Slovakia,Slovakia,0.730374813,0.07939706,0.200828552,0.065504737,-0.033284843,-0.079396248,1.812103271,0.050148591,0.077028453,0.081195369,-0.018795364,-0.014798631,-0.03398174,0.021474333,0.124128155,0.15786162,0.113020778,-0.123083293,0.211597145,,0.230107531,0.257534236,,,
067 Zambia,Zambia,0.714973927,0.091990136,0.207661629,0.067733496,0.029504716,0.070379294,7.119018555,0.197013468,0.075400591,0.079479441,-0.008276735,-0.006516731,-0.09589237,0.060597979,0.468686938,0.103833765,0.244801149,0.250884891,0.266331673,,,,,0.110429451,
034 Mexico,Mexico,0.634459019,0.071183488,0.063782692,0.020804156,-0.120371103,-0.287128121,1.380447388,0.038202841,0.031658053,0.033370622,-0.018444113,-0.014522072,-0.127815425,0.080771349,-0.128501222,-0.062109619,-0.053052917,0.017184418,0.276200324,0.176534802,0.305610567,0.294242173,0.207957417,0.154983923,0.124062032
116 El Salvador,El Salvador,0.633502007,0.076297529,0.028330803,0.009240727,0.020871699,0.049786463,1.195690155,0.033089824,0.037625492,0.039660871,-0.113288522,-0.089198329,-0.014096975,0.008908407,0.051487964,-0.029291779,0.071618333,0.027945191,0.171385244,,,0.141148329,,,
074 Kyrgyzstan,Kyrgyzstan,0.616909027,0.055082906,0.203219891,0.066284724,0.029737055,0.070933506,2.32491684,0.064340323,0.047734141,0.050316356,0.178109199,0.14023523,0.003763378,-0.002378219,0.389731914,-0.04088968,0.237498403,0.160302699,0.345872521,,,,0.165867686,,0.377253801
